"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"Q5_6";"MA40A16";"THT_Transducer_(MA40A16)";"175.2500";"-36.8750";"270";"TopLayer"
"Q6_1";"MA40A16";"THT_Transducer_(MA40A16)";"200.7500";"36.8750";"270";"TopLayer"
"Q6_2";"MA40A16";"THT_Transducer_(MA40A16)";"192.2500";"22.1250";"270";"TopLayer"
"Q6_3";"MA40A16";"THT_Transducer_(MA40A16)";"200.7500";"7.3750";"270";"TopLayer"
"Q6_4";"MA40A16";"THT_Transducer_(MA40A16)";"192.2500";"-7.3750";"270";"TopLayer"
"Q6_5";"MA40A16";"THT_Transducer_(MA40A16)";"200.7500";"-22.1250";"270";"TopLayer"
"Q6_6";"MA40A16";"THT_Transducer_(MA40A16)";"192.2500";"-36.8750";"270";"TopLayer"
"Q7_1";"MA40A16";"THT_Transducer_(MA40A16)";"217.7500";"36.8750";"270";"TopLayer"
"Q7_2";"MA40A16";"THT_Transducer_(MA40A16)";"209.2500";"22.1250";"270";"TopLayer"
"Q7_3";"MA40A16";"THT_Transducer_(MA40A16)";"217.7500";"7.3750";"270";"TopLayer"
"Q7_4";"MA40A16";"THT_Transducer_(MA40A16)";"209.2500";"-7.3750";"270";"TopLayer"
"Q7_5";"MA40A16";"THT_Transducer_(MA40A16)";"217.7500";"-22.1250";"270";"TopLayer"
"Q7_6";"MA40A16";"THT_Transducer_(MA40A16)";"209.2500";"-36.8750";"270";"TopLayer"
"Q8_1";"MA40A16";"THT_Transducer_(MA40A16)";"234.7500";"36.8750";"270";"TopLayer"
"Q8_2";"MA40A16";"THT_Transducer_(MA40A16)";"226.2500";"22.1250";"270";"TopLayer"
"Q8_3";"MA40A16";"THT_Transducer_(MA40A16)";"234.7500";"7.3750";"270";"TopLayer"
